Year,Sexua,Lurralde historikoa,Umbral,Ingreso,GeoCode,Units,Value
2018,Emakumea,Araba/Álava,REG,,Araba/Álava,Ehunekoa,17.14
2020,Emakumea,Araba/Álava,REG,,Araba/Álava,Ehunekoa,18.85
2022,Emakumea,Araba/Álava,REG,,Araba/Álava,Ehunekoa,15.4
2018,Gizona,Araba/Álava,REG,,Araba/Álava,Ehunekoa,11.86
2020,Gizona,Araba/Álava,REG,,Araba/Álava,Ehunekoa,16.24
2022,Gizona,Araba/Álava,REG,,Araba/Álava,Ehunekoa,12.7
2018,,Araba/Álava,REG,,Araba/Álava,Ehunekoa,14.59
2020,,Araba/Álava,REG,,Araba/Álava,Ehunekoa,17.59
2022,,Araba/Álava,REG,,Araba/Álava,Ehunekoa,14.1
2018,Emakumea,Gipuzkoa,REG,,Gipuzkoa,Ehunekoa,13.93
2020,Emakumea,Gipuzkoa,REG,,Gipuzkoa,Ehunekoa,16.24
2022,Emakumea,Gipuzkoa,REG,,Gipuzkoa,Ehunekoa,13.4
2018,Gizona,Gipuzkoa,REG,,Gipuzkoa,Ehunekoa,10.39
2020,Gizona,Gipuzkoa,REG,,Gipuzkoa,Ehunekoa,13.27
2022,Gizona,Gipuzkoa,REG,,Gipuzkoa,Ehunekoa,12.0
2018,,Gipuzkoa,REG,,Gipuzkoa,Ehunekoa,12.25
2020,,Gipuzkoa,REG,,Gipuzkoa,Ehunekoa,14.77
2022,,Gipuzkoa,REG,,Gipuzkoa,Ehunekoa,12.7
2018,Emakumea,Bizkaia,REG,,Bizkaia,Ehunekoa,21.66
2020,Emakumea,Bizkaia,REG,,Bizkaia,Ehunekoa,17.35
2022,Emakumea,Bizkaia,REG,,Bizkaia,Ehunekoa,18.7
2018,Gizona,Bizkaia,REG,,Bizkaia,Ehunekoa,18.05
2020,Gizona,Bizkaia,REG,,Bizkaia,Ehunekoa,15.68
2022,Gizona,Bizkaia,REG,,Bizkaia,Ehunekoa,16.3
2018,,Bizkaia,REG,,Bizkaia,Ehunekoa,19.93
2020,,Bizkaia,REG,,Bizkaia,Ehunekoa,17.35
2022,,Bizkaia,REG,,Bizkaia,Ehunekoa,17.5
2008,Emakumea,,REG,,ES21,Ehunekoa,16.6
2012,Emakumea,,REG,,ES21,Ehunekoa,16.9
2014,Emakumea,,REG,,ES21,Ehunekoa,18.4
2016,Emakumea,,REG,,ES21,Ehunekoa,16.8
2018,Emakumea,,REG,,ES21,Ehunekoa,18.4
2020,Emakumea,,REG,,ES21,Ehunekoa,18.0
2022,Emakumea,,REG,,ES21,Ehunekoa,16.5
2008,Gizona,,REG,,ES21,Ehunekoa,11.7
2012,Gizona,,REG,,ES21,Ehunekoa,13.6
2014,Gizona,,REG,,ES21,Ehunekoa,16.0
2016,Gizona,,REG,,ES21,Ehunekoa,14.12
2018,Gizona,,REG,,ES21,Ehunekoa,14.63
2020,Gizona,,REG,,ES21,Ehunekoa,14.95
2022,Gizona,,REG,,ES21,Ehunekoa,14.3
2008,,,NAC,IMP_RENT,ES21,Ehunekoa,4.52
2012,,,NAC,IMP_RENT,ES21,Ehunekoa,7.14
2016,,,NAC,IMP_RENT,ES21,Ehunekoa,7.65
2020,,,NAC,IMP_RENT,ES21,Ehunekoa,8.61
2008,,,NAC,,ES21,Ehunekoa,8.77
2012,,,NAC,,ES21,Ehunekoa,8.8
2014,,,NAC,,ES21,Ehunekoa,10.34
2016,,,NAC,,ES21,Ehunekoa,8.96
2018,,,NAC,,ES21,Ehunekoa,10.16
2020,,,NAC,,ES21,Ehunekoa,9.84
2022,,,NAC,,ES21,Ehunekoa,10.61
2008,,,REG,IMP_RENT,ES21,Ehunekoa,10.33
2012,,,REG,IMP_RENT,ES21,Ehunekoa,12.5
2016,,,REG,IMP_RENT,ES21,Ehunekoa,14.29
2020,,,REG,IMP_RENT,ES21,Ehunekoa,16.37
2008,,,REG,,ES21,Ehunekoa,14.3
2012,,,REG,,ES21,Ehunekoa,15.3
2014,,,REG,,ES21,Ehunekoa,17.3
2016,,,REG,,ES21,Ehunekoa,15.5
2018,,,REG,,ES21,Ehunekoa,16.6
2020,,,REG,,ES21,Ehunekoa,16.5
2022,,,REG,,ES21,Ehunekoa,15.5
