Year,Series,Producto,Territorio,Units,GeoCode,Value
2010,I21,ECOICOP_011,ES211,IX,ES211,82.46
2011,I21,ECOICOP_011,ES211,IX,ES211,84.22
2012,I21,ECOICOP_011,ES211,IX,ES211,86.34
2013,I21,ECOICOP_011,ES211,IX,ES211,88.82
2014,I21,ECOICOP_011,ES211,IX,ES211,88.34
2015,I21,ECOICOP_011,ES211,IX,ES211,89.9
2016,I21,ECOICOP_011,ES211,IX,ES211,91.15
2017,I21,ECOICOP_011,ES211,IX,ES211,92.43
2018,I21,ECOICOP_011,ES211,IX,ES211,93.86
2019,I21,ECOICOP_011,ES211,IX,ES211,94.85
2020,I21,ECOICOP_011,ES211,IX,ES211,97.73
2021,I21,ECOICOP_011,ES211,IX,ES211,100.0
2022,I21,ECOICOP_011,ES211,IX,ES211,110.86
2023,I21,ECOICOP_011,ES211,IX,ES211,122.64
2010,I21,ECOICOP_011,ES212,IX,ES212,84.08
2011,I21,ECOICOP_011,ES212,IX,ES212,85.36
2012,I21,ECOICOP_011,ES212,IX,ES212,87.71
2013,I21,ECOICOP_011,ES212,IX,ES212,90.17
2014,I21,ECOICOP_011,ES212,IX,ES212,89.66
2015,I21,ECOICOP_011,ES212,IX,ES212,91.22
2016,I21,ECOICOP_011,ES212,IX,ES212,92.59
2017,I21,ECOICOP_011,ES212,IX,ES212,93.47
2018,I21,ECOICOP_011,ES212,IX,ES212,95.22
2019,I21,ECOICOP_011,ES212,IX,ES212,96.16
2020,I21,ECOICOP_011,ES212,IX,ES212,98.36
2021,I21,ECOICOP_011,ES212,IX,ES212,100.0
2022,I21,ECOICOP_011,ES212,IX,ES212,111.17
2023,I21,ECOICOP_011,ES212,IX,ES212,123.38
2010,I21,ECOICOP_011,ES213,IX,ES213,83.07
2011,I21,ECOICOP_011,ES213,IX,ES213,85.1
2012,I21,ECOICOP_011,ES213,IX,ES213,87.42
2013,I21,ECOICOP_011,ES213,IX,ES213,90.11
2014,I21,ECOICOP_011,ES213,IX,ES213,89.46
2015,I21,ECOICOP_011,ES213,IX,ES213,90.46
2016,I21,ECOICOP_011,ES213,IX,ES213,92.04
2017,I21,ECOICOP_011,ES213,IX,ES213,93.46
